"pitcher1","pitcher2","similarity"
"Martin Perez","Clayton Kershaw",1.95487275571746
"Adam Conley","Clayton Kershaw",2.14580721603169
"Mike Montgomery","Clayton Kershaw",1.71993614600549
"Hyun-Jin Ryu","Clayton Kershaw",1.55622746404751
"Matt Boyd","Clayton Kershaw",1.84363461368161
"Patrick Corbin","Clayton Kershaw",1.76921532902581
"Steven Matz","Clayton Kershaw",1.91999628614428
"James Paxton","Clayton Kershaw",1.40596899907668
"Dallas Keuchel","Clayton Kershaw",1.81723037185623
"Robbie Ray","Clayton Kershaw",1.3616341024198
"Eduardo Rodriguez","Clayton Kershaw",1.9804431887359
"Daniel Norris","Clayton Kershaw",1.4899213223497
"Blake Snell","Clayton Kershaw",1.27776594237176
"Adalberto Mejia","Clayton Kershaw",1.80127472387218
"Carlos Rodon","Clayton Kershaw",1.78331051735045
"Kyle Freeland","Clayton Kershaw",1.99874975722807
"Sean Manaea","Clayton Kershaw",2.20697534822407
"Jordan Montgomery","Clayton Kershaw",1.46413449638841
"Sean Newcomb","Clayton Kershaw",1.41909216521814
"Ariel Miranda","Clayton Kershaw",1.90565053017743
"Jason Vargas","Clayton Kershaw",1.96958662763515
"Ty Blach","Clayton Kershaw",2.05259366234345
"Alex Wood","Clayton Kershaw",2.05462833688124
"Hector Santiago","Clayton Kershaw",1.91600520186481
"CC Sabathia","Wade Miley",0.985152592180364
"Cole Hamels","Wade Miley",0.905836158024036
"Francisco Liriano","Wade Miley",0.882843248749852
"Rich Hill","Wade Miley",1.72273940314643
"Jaime Garcia","Wade Miley",1.05485518312038
"Jon Lester","Wade Miley",0.798940077684636
"Clayton Richard","Wade Miley",1.65144254420459
"David Price","Wade Miley",0.979305815496144
"J. A. Happ","Wade Miley",1.01183419526709
"Gio Gonzalez","Wade Miley",1.20333116169654
"Travis Wood","Wade Miley",0.902059722465086
"Clayton Kershaw","Wade Miley",1.44613062739512
"Wade Miley","Wade Miley",0
"Jose Quintana","Wade Miley",0.821574793736943
"Derek Holland","Wade Miley",0.927482517964705
"Madison Bumgarner","Wade Miley",0.801906393999877
"Danny Duffy","Wade Miley",0.742723766345061
"Matt Moore","Wade Miley",0.881673849230792
"Drew Pomeranz","Wade Miley",1.37801081359206
"Chris Sale","Wade Miley",1.35342188282971
"Martin Perez","Wade Miley",1.09337234720902
"Adam Conley","Wade Miley",1.18389322513852
"Mike Montgomery","Wade Miley",1.03431622124864
