"pitcher1","pitcher2","similarity"
"Julio Teheran","John Lackey",0.66833998896063
"Matt Shoemaker","John Lackey",1.29419375052387
"Tim Adleman","John Lackey",1.24649514434286
"Erasmo Ramirez","John Lackey",1.25279330746635
"Tyler Chatwood","John Lackey",1.24417186207986
"Gerrit Cole","John Lackey",1.25013047522572
"Sonny Gray","John Lackey",1.10089645356902
"Kyle Hendricks","John Lackey",1.5935178391909
"Tom Koehler","John Lackey",0.813379063570483
"Alex Meyer","John Lackey",1.14373500070434
"Jake Odorizzi","John Lackey",1.15712274479079
"Tanner Roark","John Lackey",0.929867099228936
"Stephen Strasburg","John Lackey",1.25880792229745
"Trevor Bauer","John Lackey",1.11297500077304
"Michael Lorenzen","John Lackey",1.26095762311785
"Masahiro Tanaka","John Lackey",0.730036395494145
"Zach Wheeler","John Lackey",1.06874006004727
"Jose Urena","John Lackey",1.35172019773588
"Mike Fiers","John Lackey",1.3016056900175
"Mychal Givens","John Lackey",1.40693751687283
"Ryan Tepera","John Lackey",1.09798503800861
"Dan Straily","John Lackey",1.02762801718689
"Marcus Stroman","John Lackey",1.28116894434585
"Parker Bridwell","John Lackey",0.876926404755568
"Mike Foltynewicz","John Lackey",0.962065753024473
"Kevin Gausman","John Lackey",1.50566929429264
"Jon Gray","John Lackey",1.18138856882369
"Jameson Taillon","John Lackey",1.39767371225226
"Vince Velasquez","John Lackey",1.24798243080345
"Taijuan Walker","John Lackey",1.02103673308281
"Trevor Williams","John Lackey",1.17703690542658
"Carlos Martinez","John Lackey",1.38264363658284
"Jacob deGrom","John Lackey",1.05397012733936
"Jerad Eickhoff","John Lackey",0.902409612461158
"Nick Pivetta","John Lackey",1.12419396101089
"Dylan Bundy","John Lackey",0.816355011853927
"Mike Clevinger","John Lackey",0.861105380630328
"Jharel Cotton","John Lackey",1.27383336186894
"Michael Fulmer","John Lackey",1.50547956836995
"Daniel Gossett","John Lackey",0.690218862716452
"Joe Musgrove","John Lackey",0.752011767739942
"Aaron Nola","John Lackey",1.3555541177728
"Luis Perdomo","John Lackey",1.25148935232255
"Rafael Montero","John Lackey",0.996172103111375
"Jacob Faria","John Lackey",1.15432526844059
"Robert Gsellman","John Lackey",1.24967815855863
"Nick Martinez","John Lackey",1.03529743721
"Joe Biagini","John Lackey",1.20724848427997
"Seth Lugo","John Lackey",1.02851892795602
"Corey Knebel","John Lackey",1.8144380733466
"Michael Wacha","John Lackey",1.36460217414265
"German Marquez","John Lackey",1.17007300741108
"Lance McCullers","John Lackey",1.34882337229569
"Jose Berrios","John Lackey",1.06042182450204
"Luis Castillo","John Lackey",1.73329305900277
"Antonio Senzatela","John Lackey",1.2015445286535
"Luis Severino","John Lackey",1.2638282650381
"Kenta Maeda","John Lackey",0.861639827703947
"Chad Kuhl","John Lackey",1.36836879718989
"Zack Godley","John Lackey",1.14629958320767
"Austin Pruitt","John Lackey",0.885124056901467
"Jeff Hoffman","John Lackey",1.25331607640656
"Dinelson Lamet","John Lackey",0.874459838627455
"Jesse Hahn","John Lackey",1.29376437860916
"Zach Davies","John Lackey",1.36906675447396
"Scott Feldman","John Lackey",1.08229662644236
"Mike Leake","John Lackey",1.14635120346153
"Trevor Cahill","John Lackey",1.29116685590789
"Kendall Graveman","John Lackey",1.57108830367099
"Jake Arrieta","John Lackey",1.09646963712082
"Joe Ross","John Lackey",0.820486442048654
"Mike Pelfrey","John Lackey",1.33799143878022
"Bartolo Colon","Adam Wainwright",2.2675214913096
"Bronson Arroyo","Adam Wainwright",1.82173532492935
"R. A. Dickey","Adam Wainwright",2.02857125257346
"John Lackey","Adam Wainwright",1.25164146493441
"Adam Wainwright","Adam Wainwright",0
"Zack Greinke","Adam Wainwright",1.15776880396435
"Ervin Santana","Adam Wainwright",1.70721715066265
"Matt Cain","Adam Wainwright",1.12779534926825
"Felix Hernandez","Adam Wainwright",1.4088881658571
"Yusmeiro Petit","Adam Wainwright",1.55581388419565
"Justin Verlander","Adam Wainwright",1.70158578623818
"Ubaldo Jimenez","Adam Wainwright",1.92976702169351
"Jason Hammel","Adam Wainwright",1.15096996671961
"Anibal Sanchez","Adam Wainwright",1.51681249138399
"Brandon McCarthy","Adam Wainwright",1.30824957217195
"Ricky Nolasco","Adam Wainwright",1.34956592209067
"Jesse Chavez","Adam Wainwright",1.41198009387994
"Corey Kluber","Adam Wainwright",1.35729393461786
"James Shields","Adam Wainwright",1.15167941448987
"Carlos Torres","Adam Wainwright",1.77037527756897
"Edinson Volquez","Adam Wainwright",2.05166346271258
"Charlie Morton","Adam Wainwright",1.6257402931311
"Yovani Gallardo","Adam Wainwright",1.48932531297731
"Ian Kennedy","Adam Wainwright",1.6694081612369
"Max Scherzer","Adam Wainwright",1.62383325499371
"Miguel Gonzalez","Adam Wainwright",1.34488748278053
"Johnny Cueto","Adam Wainwright",1.9848954247507
"Lance Lynn","Adam Wainwright",1.94294830014463
"Josh Tomlin","Adam Wainwright",0.89618282408828
"Marco Estrada","Adam Wainwright",2.53712325013548
